product_id,category,sub_category,product_name
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
OFF-AR-10002833,Office Supplies,Art,Newell 322
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186,Office Supplies,Storage,"\"Stur-D-Stor Shelving, Vertical 5-Shelf: 72\"\"H x 36\"\"W x 18 1/2\"\"D\""
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
OFF-AR-10003056,Office Supplies,Art,Newell 341
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1\"\""
OFF-AR-10000246,Office Supplies,Art,Newell 318
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848,Furniture,Furnishings,"\"Howard Miller 13-3/4\"\" Diameter Brushed Chrome Round Wall Clock\""
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
OFF-BI-10001525,Office Supplies,Binders,"\"Acco Pressboard Covers with Storage Hooks, 14 7/8\"\" x 11\"\""
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
TEC-PH-10004977,Technology,Phones,GE 30524EE4
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
OFF-EN-10002986,Office Supplies,Envelopes,"\"#10-4 1/8\"\" x 9 1/2\"\" Premium Diagonal Seam Envelopes\""
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive
TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-LA-10002762,Office Supplies,Labels,Avery 485
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
OFF-PA-10001569,Office Supplies,Paper,Xerox 232
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
OFF-BI-10001078,Office Supplies,Binders,"\"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8\"\" X 11\"\"\""
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
OFF-PA-10004675,Office Supplies,Paper,"\"Telephone Message Books with Fax/Mobile Section, 5 1/2\"\" x 3 3/16\"\"\""
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
FUR-FU-10003708,Furniture,Furnishings,"\"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36\"\" x 48\"\"\""
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
OFF-BI-10004182,Office Supplies,Binders,Economy Binders
FUR-FU-10000260,Furniture,Furnishings,"\"6\"\" Cubicle Wall Clock"
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AP-10002118,Office Supplies,Appliances,"\"1.7 Cubic Foot Compact \"\"Cube\"\" Office Refrigerators\""
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
OFF-LA-10000134,Office Supplies,Labels,Avery 511
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
FUR-FU-10003799,Furniture,Furnishings,"\"Seth Thomas 13 1/2\"\" Wall Clock\""
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
OFF-BI-10002794,Office Supplies,Binders,"\"Avery Trapezoid Ring Binder, 3\"\" Capacity"
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
TEC-AC-10000844,Technology,Accessories,Logitech�Gaming G510s - Keyboard
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
OFF-BI-10003981,Office Supplies,Binders,"\"Avery Durable Plastic 1\"\" Binders\""
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
OFF-FA-10002780,Office Supplies,Fasteners,Staples
OFF-PA-10001804,Office Supplies,Paper,Xerox 195
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
OFF-AR-10000940,Office Supplies,Art,Newell 343
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
FUR-FU-10000521,Furniture,Furnishings,"\"Seth Thomas 14\"\" Putty-Colored Wall Clock\""
TEC-PH-10000215,Technology,Phones,Plantronics Cordless�Phone Headset�with In-line Volume - M214C
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded�Headset
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
OFF-AR-10001547,Office Supplies,Art,Newell 311
OFF-LA-10002475,Office Supplies,Labels,Avery 519
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope
OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�"
OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
OFF-LA-10003148,Office Supplies,Labels,Avery 51
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
TEC-AC-10004659,Technology,Accessories,Imation�Secure+ Hardware Encrypted USB 2.0�Flash Drive; 16GB
TEC-PH-10003273,Technology,Phones,AT&T TR1909W
TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
OFF-PA-10000061,Office Supplies,Paper,Xerox 205
OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
OFF-BI-10000343,Office Supplies,Binders,"\"Pressboard Covers with Storage Hooks, 9 1/2\"\" x 11\"\""
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
OFF-LA-10004544,Office Supplies,Labels,Avery 505
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
FUR-FU-10000087,Furniture,Furnishings,"\"Executive Impressions 14\"\" Two-Color Numerals Wall Clock\""
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops
FUR-FU-10004017,Furniture,Furnishings,"\"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39\"\" x 49\"\"\""
TEC-AC-10003832,Technology,Accessories,Logitech�P710e Mobile Speakerphone
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings
TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector
FUR-TA-10002607,Furniture,Tables,KI Conference Tables
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories
OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart
OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
OFF-PA-10004569,Office Supplies,Paper,"\"Wirebound Message Books, Two 4 1/4\"\" x 5\"\" Forms per Page\""
OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy"
OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes
OFF-ST-10004804,Office Supplies,Storage,"\"Belkin 19\"\" Vented Equipment Shelf"
TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e -�speaker phone
TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving
OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer
TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone
TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse
OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack"
OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving
OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart
TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders
OFF-PA-10002615,Office Supplies,Paper,"\"Ampad Gold Fibre Wirebound Steno Books, 6\"\" x 9\"\""
OFF-AR-10001427,Office Supplies,Art,Newell 330
OFF-PA-10000673,Office Supplies,Paper,"Post-it �Important Message� Note Pad, Neon Colors, 50 Sheets/Pad"
OFF-PA-10004470,Office Supplies,Paper,"\"Adams Write n' Stick Phone Message Book, 11\"\" X 5 1/4\"\""
OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office
OFF-LA-10002043,Office Supplies,Labels,Avery 489
OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders
TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker
FUR-TA-10002903,Furniture,Tables,"\"Bevis Round Bullnose 29\"\" High Table Top\""
OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper
TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse
OFF-PA-10004100,Office Supplies,Paper,Xerox 216
OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine
OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener
OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips
OFF-LA-10004689,Office Supplies,Labels,Avery 512
TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
FUR-FU-10004091,Furniture,Furnishings,"\"Howard Miller 13\"\" Diameter Goldtone Round Wall Clock\""
FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs
FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers
OFF-FA-10004854,Office Supplies,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
OFF-PA-10002105,Office Supplies,Paper,Xerox 223
OFF-ST-10002756,Office Supplies,Storage,"\"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24\"\" Deep"
OFF-PA-10004243,Office Supplies,Paper,Xerox 1939
FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings
FUR-TA-10002533,Furniture,Tables,BPI Conference Tables
FUR-FU-10002671,Furniture,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
OFF-AR-10003651,Office Supplies,Art,Newell 350
OFF-BI-10001072,Office Supplies,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils
FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
OFF-LA-10000634,Office Supplies,Labels,Avery 509
FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone
OFF-PA-10001937,Office Supplies,Paper,Xerox 21
OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670"
FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair
TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
TEC-AC-10000892,Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
OFF-FA-10000624,Office Supplies,Fasteners,OIC Binder Clips
TEC-AC-10001908,Technology,Accessories,Logitech Wireless Headset h800
FUR-FU-10001967,Furniture,Furnishings,Telescoping Adjustable Floor Lamp
TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone
OFF-ST-10000675,Office Supplies,Storage,"File Shuttle II and Handi-File, Black"
FUR-CH-10003312,Furniture,Chairs,Hon 2090 �Pillow Soft� Series Mid Back Swivel/Tilt Chairs
OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels
OFF-BI-10001524,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern
TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone
OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers
OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels
OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders
